visual_key	visual_motif	motif_role	motif_label	sheet_needed	sheet_event_count	sheet_example_events	ready_image_count	ready_image_ids	candidate_count	candidate_image_ids	candidate_statuses	gap	next_action	priority	notes
city_festival_street	open_house_city_services	review	Tag der offenen Tuer / Stadtservices	yes	1	Tag der offenen Tür - komm vorbei (2026-04-26)	0		0			no	review_rules	medium	generated_from_sheet_tsv
business_messe_info	health_career_fair	specific	Gesundheits-/Berufemesse	yes	1	Gesundheitsberufemesse (2026-09-26)	0		0			yes	gap_to_produce	high	generated_from_sheet_tsv
indoor_sport_competition	darts	specific	Darts	yes	1	Borkener Darts Trophy (2026-06-26)	0		0			yes	gap_to_produce	high	generated_from_sheet_tsv
indoor_sport_competition	fencing	specific	Fechten	yes	1	17. International Fencing Camp Bocholt (2026-08-16)	0		0			yes	gap_to_produce	high	generated_from_sheet_tsv
market_stalls	fabric_market	specific	Stoffmarkt	yes	1	Stoffmarkt Bocholt (2026-03-22)	0		0			yes	gap_to_produce	high	generated_from_sheet_tsv
active_route_tour	guided_bike_tour	specific	geführte Radtour	yes	1	Fahrradtour mit Guide (2026-04-18)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
active_route_tour	guided_walk	specific	geführter Spaziergang / Wanderung	yes	1	Solus-Frühstück mit gemeinsamen Spaziergang (2026-04-16)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
art_exhibition_gallery	art_market	specific	Kunstmarkt	yes	1	CityArt Bocholt – Bocholter Kunstmarkt (2026-08-30)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
art_exhibition_gallery	creative_exhibition	specific	Kreativausstellung	yes	1	Kunst- und Kreativausstellung der Kreativ-Schmiede (2026-05-09)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
business_messe_info	association_fair	specific	Vereinsmesse	yes	1	2. Bocholter Vereinsmesse (2026-09-27)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
business_messe_info	business_fair	specific	Unternehmermesse	yes	1	Die 9. Barloer Unternehmermesse (2026-04-26)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
city_festival_street	district_festival	specific	Quartiers-/Stadtteilfest	yes	1	Rosenbergfestival (2026-09-26)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
city_tour_history	literary_walk	specific	literarischer Rundgang	yes	1	Dichter-Rundgang (2026-08-22)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
classical_music	chamber_music	specific	Kammermusik	yes	1	NOVO Quartet (2026-03-23)	0		0			yes	gap_to_produce	medium	generated_from_sheet_tsv
